project-01-rest-service-1,1.62%,67.53MiB / 7.654GiB
project-01-db-1,0.87%,93.09MiB / 7.654GiB
project-01-graphql-service-1,3.56%,189MiB / 7.654GiB
project-01-grpc-service-1,0.00%,701.9MiB / 7.654GiB
project-01-rest-service-1,1.81%,67.58MiB / 7.654GiB
project-01-db-1,0.92%,93.1MiB / 7.654GiB
project-01-graphql-service-1,2.63%,189.5MiB / 7.654GiB
project-01-grpc-service-1,0.00%,694.8MiB / 7.654GiB
project-01-rest-service-1,1.22%,67.6MiB / 7.654GiB
project-01-db-1,0.75%,73.34MiB / 7.654GiB
project-01-graphql-service-1,1.88%,189.7MiB / 7.654GiB
project-01-grpc-service-1,0.00%,694.8MiB / 7.654GiB
project-01-rest-service-1,1.14%,67.6MiB / 7.654GiB
project-01-db-1,0.88%,73.34MiB / 7.654GiB
project-01-graphql-service-1,0.63%,189.4MiB / 7.654GiB
project-01-grpc-service-1,0.00%,687.6MiB / 7.654GiB
project-01-rest-service-1,0.15%,67.61MiB / 7.654GiB
project-01-db-1,0.26%,71.71MiB / 7.654GiB
project-01-graphql-service-1,0.03%,189.4MiB / 7.654GiB
project-01-grpc-service-1,0.00%,687.6MiB / 7.654GiB
project-01-rest-service-1,0.12%,67.61MiB / 7.654GiB
project-01-db-1,0.51%,71.68MiB / 7.654GiB
project-01-graphql-service-1,0.00%,189.4MiB / 7.654GiB
project-01-grpc-service-1,0.00%,687.6MiB / 7.654GiB
project-01-rest-service-1,0.37%,67.61MiB / 7.654GiB
project-01-db-1,0.73%,71.68MiB / 7.654GiB
project-01-graphql-service-1,0.00%,189.4MiB / 7.654GiB
project-01-grpc-service-1,0.00%,681MiB / 7.654GiB
project-01-rest-service-1,0.13%,67.61MiB / 7.654GiB
project-01-db-1,0.76%,71.68MiB / 7.654GiB
project-01-graphql-service-1,0.00%,189.4MiB / 7.654GiB
project-01-grpc-service-1,0.00%,681MiB / 7.654GiB
project-01-rest-service-1,0.12%,67.54MiB / 7.654GiB
project-01-db-1,0.03%,71.67MiB / 7.654GiB
project-01-graphql-service-1,0.00%,189.4MiB / 7.654GiB
project-01-grpc-service-1,0.00%,673.9MiB / 7.654GiB
project-01-rest-service-1,0.13%,67.54MiB / 7.654GiB
project-01-db-1,0.02%,71.67MiB / 7.654GiB
project-01-graphql-service-1,0.74%,189.4MiB / 7.654GiB
project-01-grpc-service-1,0.00%,673.9MiB / 7.654GiB
project-01-rest-service-1,0.32%,67.54MiB / 7.654GiB
project-01-db-1,0.09%,70MiB / 7.654GiB
project-01-graphql-service-1,0.00%,189.4MiB / 7.654GiB
project-01-grpc-service-1,0.03%,653.4MiB / 7.654GiB
project-01-rest-service-1,0.03%,67.64MiB / 7.654GiB
project-01-db-1,0.04%,70MiB / 7.654GiB
project-01-graphql-service-1,0.00%,189.4MiB / 7.654GiB
project-01-grpc-service-1,0.00%,653.3MiB / 7.654GiB
project-01-rest-service-1,0.67%,67.62MiB / 7.654GiB
project-01-db-1,0.00%,70MiB / 7.654GiB
project-01-graphql-service-1,0.00%,189.4MiB / 7.654GiB
project-01-grpc-service-1,0.00%,653.3MiB / 7.654GiB
project-01-rest-service-1,0.03%,67.62MiB / 7.654GiB
project-01-db-1,0.00%,70MiB / 7.654GiB
project-01-graphql-service-1,113.35%,418.2MiB / 7.654GiB
project-01-grpc-service-1,0.61%,653.3MiB / 7.654GiB
project-01-rest-service-1,3.02%,75.07MiB / 7.654GiB
project-01-db-1,10.85%,72.57MiB / 7.654GiB
project-01-graphql-service-1,109.19%,593.5MiB / 7.654GiB
project-01-grpc-service-1,0.65%,653.4MiB / 7.654GiB
project-01-rest-service-1,1.21%,75.34MiB / 7.654GiB
project-01-db-1,9.20%,74.51MiB / 7.654GiB
project-01-graphql-service-1,111.99%,678.5MiB / 7.654GiB
project-01-grpc-service-1,0.63%,653.4MiB / 7.654GiB
project-01-rest-service-1,0.52%,75.42MiB / 7.654GiB
project-01-db-1,9.87%,75.36MiB / 7.654GiB
project-01-graphql-service-1,110.71%,685.8MiB / 7.654GiB
project-01-grpc-service-1,0.49%,653.5MiB / 7.654GiB
project-01-rest-service-1,0.60%,75.41MiB / 7.654GiB
project-01-db-1,13.27%,77.82MiB / 7.654GiB
project-01-graphql-service-1,109.03%,656.8MiB / 7.654GiB
project-01-grpc-service-1,0.65%,653.5MiB / 7.654GiB
project-01-rest-service-1,0.94%,75.5MiB / 7.654GiB
project-01-db-1,8.38%,78.6MiB / 7.654GiB
